Term,P-value,Adjusted P-value,Combined Score,Genes
Endoplasmic Reticulum Membrane (GO:0005789),0.001684336,0.293074528,11.98458445,ERO1B;AHCYL1;TMEM41B;MIA2;DERL2;FITM2;HMGCR;POFUT2;GPAT3;FDFT1;CYP2J2;CERS5;NAT8B;TMEM178A;MBOAT2;FMO2;DHCR24;ACSL3;RPE65;SREBF2;CTAGE1;SQLE;PLPP6;NAT8;CTAGE4;CTAGE9;CTAGE8;CYB5RL;CTAGE6;CTAGE15
External Side Of Apical Plasma Membrane (GO:0098591),0.004218591,0.367017402,170.7368599,ABCC4;SLC7A5
AMPA Glutamate Receptor Complex (GO:0032281),0.006938351,0.402424332,43.72599044,OLFM2;CACNG3;GRIA4
Actin Cytoskeleton (GO:0015629),0.021405848,0.664781646,7.533634104,CLIC5;FAM107A;COBL;ASAP1;MYRIP;EFR3B;RND1;ARHGAP32;MYO1B;GJB6;MYO5C;CAPN2;EZR
Cytoskeleton (GO:0005856),0.028744174,0.664781646,5.823888825,FHOD3;CLIC5;HIP1;FAM107A;ODF3L1;KLF4;KRT20;EFR3B;PPL;SEPTIN11;RND1;CCNB2;ARHGAP32;MYO1B;INCENP;MYO5C;EZR;FAM83D;VCL;MARK1
Ionotropic Glutamate Receptor Complex (GO:0008328),0.031497479,0.664781646,16.21125276,OLFM2;CACNG3;GRIA4
Microvillus (GO:0005902),0.033443077,0.664781646,11.81403134,SLC7A5;MYO1B;USH1C;EZR
Postsynaptic Density Membrane (GO:0098839),0.034022788,0.664781646,15.33761622,DLG1;CACNG3;GRIA4
Specific Granule Lumen (GO:0035580),0.039196136,0.664781646,10.66775553,AOC1;LCN2;PGLYRP1;VCL
Cortical Cytoskeleton (GO:0030863),0.043325673,0.664781646,9.986410107,RIMS4;CAPN2;MYRIP;EZR
Postsynaptic Specialization Membrane (GO:0099634),0.045133709,0.664781646,12.4466332,DLG1;CACNG3;GRIA4
Actin Filament (GO:0005884),0.062185736,0.664781646,7.778399392,MYO1B;GJB6;COBL;EZR
Cortical Actin Cytoskeleton (GO:0030864),0.064714514,0.664781646,9.386433341,CAPN2;COBL;MYRIP
Plasma Membrane Raft (GO:0044853),0.094028505,0.664781646,5.683653319,CAV2;CAVIN2;ATP2B4;EZR
Sarcolemma (GO:0042383),0.095790048,0.664781646,6.726155475,CAV2;SGCZ;VCL
Endoplasmic reticulum-Golgi Intermediate Compartment Membrane (GO:0033116),0.095790048,0.664781646,6.726155475,LAMP5;NAT8B;NAT8
Adherens Junction (GO:0005912),0.096832088,0.664781646,4.567101744,DLG1;CTNND1;EZR;JCAD;VCL;RND1
Actin-Based Cell Projection (GO:0098858),0.100511056,0.664781646,5.38473645,KITLG;MYO1B;USH1C;EZR
Hrd1p Ubiquitin Ligase ERAD-L Complex (GO:0000839),0.100690974,0.664781646,26.81420401,DERL2
Nuclear Envelope Lumen (GO:0005641),0.100690974,0.664781646,26.81420401,CCAR1
Protein Phosphatase 4 Complex (GO:0030289),0.100690974,0.664781646,26.81420401,PPP4R1
Sarcoglycan Complex (GO:0016012),0.100690974,0.664781646,26.81420401,SGCZ
Sex Chromosome (GO:0000803),0.100690974,0.664781646,26.81420401,PCGF5
Polymeric Cytoskeletal Fiber (GO:0099513),0.107552419,0.664781646,3.685693089,DLG1;MYO1B;GJB6;CASP1;COBL;EZR;KRT20;PPL;PRPH
Dendrite (GO:0030425),0.116902188,0.664781646,3.479037118,LAMP5;FARP1;BRINP2;EPHA10;STAU1;HTR1F;CAPN2;COBL;MARK1
X Chromosome (GO:0000805),0.119581156,0.664781646,19.84372418,PCGF5
Dystroglycan Complex (GO:0016011),0.119581156,0.664781646,19.84372418,SGCZ
Cytoplasmic Vesicle Membrane (GO:0030659),0.120052206,0.664781646,3.17577378,LAMP5;SGSM1;CD163;MYO1B;APH1B;RAB15;PMEPA1;TICAM1;PAM;VAMP5;CACNG3;GRIA4
Myofibril (GO:0030016),0.123372177,0.664781646,7.250686448,MYBPC1;TNNT2
Condensed Chromosome (GO:0000793),0.131730351,0.664781646,4.994709921,HMGB2;CENPA;TTN
Filopodium (GO:0030175),0.131730351,0.664781646,4.994709921,KITLG;MYO1B;EZR
Peroxisome (GO:0005777),0.13573706,0.664781646,3.775196806,IDI1;AOC1;PLAAT3;CROT;HMGCR
Synaptic Membrane (GO:0097060),0.13758189,0.664781646,6.398302565,RIMS4;DLG1
Hrd1p Ubiquitin Ligase Complex (GO:0000836),0.138075472,0.664781646,15.41592526,DERL2
TORC2 Complex (GO:0031932),0.138075472,0.664781646,15.41592526,PRR5
Cytoskeleton Of Presynaptic Active Zone (GO:0048788),0.138075472,0.664781646,15.41592526,RIMS4
Caveola (GO:0005901),0.141361614,0.664781646,4.65693802,CAV2;CAVIN2;ATP2B4
Basolateral Plasma Membrane (GO:0016323),0.151734195,0.679392563,3.215582743,ABCC4;SLC7A5;DLG1;HEPH;EZR;SLC16A3
Golgi Trans Cisterna (GO:0000138),0.156182198,0.679392563,12.39066339,SGMS1
Pseudopodium (GO:0031143),0.156182198,0.679392563,12.39066339,CAPN2
"Condensed Chromosome, Centromeric Region (GO:0000779)",0.173909438,0.698994698,10.21352785,CENPA
"Transferase Complex, Transferring Phosphorus-Containing Groups (GO:0061695)",0.173909438,0.698994698,10.21352785,MAP3K5
Intermediate Filament (GO:0005882),0.17675728,0.698994698,3.686214143,KRT20;PPL;PRPH
Vesicle Membrane (GO:0012506),0.17675728,0.698994698,3.686214143,LAMP5;SGSM1;VAMP5
Neuromuscular Junction (GO:0031594),0.197266866,0.756421324,4.102179607,DLG1;SYNGR4
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307),0.204950301,0.756421324,3.900003891,CCNB2;CDKN1A
Cytoplasmic Stress Granule (GO:0010494),0.214272005,0.756421324,2.961536364,GRB7;STAU1;CELF1
Cul4A-RING E3 Ubiquitin Ligase Complex (GO:0031464),0.224892758,0.756421324,6.335327339,GLMN
Podosome (GO:0002102),0.224892758,0.756421324,6.335327339,ASAP1
Microvillus Membrane (GO:0031528),0.241179759,0.756421324,5.534975898,SLC7A5
Septin Cytoskeleton (GO:0032156),0.241179759,0.756421324,5.534975898,SEPTIN11
Septin Ring (GO:0005940),0.241179759,0.756421324,5.534975898,SEPTIN11
Intermediate Filament Cytoskeleton (GO:0045111),0.242012741,0.756421324,2.551997155,KRT20;PPL;PRPH
Potassium Channel Complex (GO:0034705),0.242012741,0.756421324,2.551997155,KCNIP3;KCNA10;KCNK4
Cell-Cell Contact Zone (GO:0044291),0.259378115,0.756421324,2.80296276,DLG1;VCL
Cytoplasmic Side Of Plasma Membrane (GO:0009898),0.263653062,0.756421324,2.078729052,FARP1;DLG1;FRMD6;EZR
PRC1 Complex (GO:0035102),0.272736599,0.756421324,4.333634814,PCGF5
Axonal Growth Cone (GO:0044295),0.272736599,0.756421324,4.333634814,COBL
Microbody Lumen (GO:0031907),0.275011301,0.756421324,2.567035663,AOC1;CROT
Peroxisomal Matrix (GO:0005782),0.275011301,0.756421324,2.567035663,AOC1;CROT
Membrane Raft (GO:0045121),0.2825287,0.756421324,1.802919582,CAV2;CAVIN2;CAPN2;ATP2B4;EZR
Neuron Projection (GO:0043005),0.283540002,0.756421324,1.52373621,FARP1;PCSK1;STAU1;EPHA10;HTR1F;FAM107A;COBL;BRINP2;DLG1;CAPN2;VIP;STX1A;PRPH;MARK1
Dense Core Granule (GO:0031045),0.28802057,0.756421324,3.874783274,MYRIP
Microtubule Cytoskeleton (GO:0015630),0.29277475,0.756421324,1.554684412,CCNB2;DLG1;INCENP;CASP1;FBXO5;FAM83D;KLF4;SEPTIN11;MARK1
Cell-Cell Junction (GO:0005911),0.293320445,0.756421324,1.5786046,DLG1;KIRREL2;GJB6;CTNND1;EZR;JCAD;VCL;RND1
Focal Adhesion (GO:0005925),0.296955879,0.756421324,1.508425908,SLC9A3R2;FERMT1;GRB7;PPFIBP1;CAV2;FAM107A;CAPN2;ITGB7;EZR;VCL
Protein Kinase Complex (GO:1902911),0.302984086,0.756421324,3.484618619,MAP3K5
Microbody Membrane (GO:0031903),0.306200577,0.756421324,2.168389411,AOC1;HMGCR
Peroxisomal Membrane (GO:0005778),0.306200577,0.756421324,2.168389411,AOC1;HMGCR
Exocytic Vesicle Membrane (GO:0099501),0.306200577,0.756421324,2.168389411,OTOF;SYNGR4
Synaptic Vesicle Membrane (GO:0030672),0.313963816,0.756421324,2.081592688,OTOF;SYNGR4
Connexin Complex (GO:0005922),0.31763385,0.756421324,3.149788495,GJB6
Cell-Substrate Junction (GO:0030055),0.318673572,0.756421324,1.390634868,SLC9A3R2;FERMT1;GRB7;PPFIBP1;CAV2;FAM107A;CAPN2;ITGB7;EZR;VCL
GABA-ergic Synapse (GO:0098982),0.331976424,0.756421324,2.860096482,CBLN4
U5 snRNP (GO:0005682),0.331976424,0.756421324,2.860096482,SNRNP40
Extracellular Membrane-Bounded Organelle (GO:0065010),0.337127506,0.756421324,1.846839198,VCL;GRIA4
Nuclear Membrane (GO:0031965),0.342531172,0.756421324,1.360160637,RAP1GAP2;PLPP6;OSBPL3;MPL;TMEM97;SLC16A3
Pericentric Heterochromatin (GO:0005721),0.359765578,0.756421324,2.386186097,INCENP
Endocytic Vesicle Lumen (GO:0071682),0.359765578,0.756421324,2.386186097,PGLYRP1
Gap Junction (GO:0005921),0.359765578,0.756421324,2.386186097,GJB6
Serine/Threonine Protein Kinase Complex (GO:1902554),0.360050984,0.756421324,1.645100735,CCNB2;CDKN1A
Extracellular Vesicle (GO:1903561),0.360050984,0.756421324,1.645100735,VCL;GRIA4
Bounding Membrane Of Organelle (GO:0098588),0.360821666,0.756421324,1.133828298,RAB2B;CD163;NAT8B;SGMS1;TICAM1;SREBF2;LAMP5;ACER2;MYO1B;APH1B;NAT8;RAB15;PMEPA1;ST3GAL6;PAM;SNAP29;CACNG3;GALNT9;GRIA4
Cul2-RING Ubiquitin Ligase Complex (GO:0031462),0.386401364,0.783087967,2.0174967,GLMN
Endoplasmic Reticulum Lumen (GO:0005788),0.387776865,0.783087967,1.118902175,ERO1B;FOXRED2;COL5A1;VGF;DNAJB11;EOGT;CHGB
Acrosomal Vesicle (GO:0001669),0.39014211,0.783087967,1.417750015,RAB2B;DKKL1
Postsynaptic Density (GO:0014069),0.391543984,0.783087967,1.191882307,ARHGAP32;DLG1;CACNG3;GRIA4
Specific Granule (GO:0042581),0.4293306,0.842263183,1.018882254,AOC1;LCN2;PGLYRP1;VCL
Catenin Complex (GO:0016342),0.448253438,0.842263183,1.386834501,CTNND1
Condensed Nuclear Chromosome (GO:0000794),0.448253438,0.842263183,1.386834501,TTN
Dendrite Membrane (GO:0032590),0.448253438,0.842263183,1.386834501,LAMP5
Spindle (GO:0005819),0.451959567,0.842263183,0.904313814,INCENP;HECW2;FBXO5;FAM83D;TTL
Voltage-Gated Potassium Channel Complex (GO:0008076),0.455341657,0.842263183,1.034292857,KCNIP3;KCNA10
U2-type Catalytic Step 2 Spliceosome (GO:0071007),0.459856336,0.842263183,1.294646966,SNRNP40
